motivation,motivation_pr,motivation_pol,motivation_sub
Inspiration and getting out of your comfort zone,inspiration getting comfort zone,0.0,0.0
Exploring cultures,exploring culture,0.0,0.0
"Wildlife, food, scenery, warmer weather, swimming in warmer water!",wildlife food scenery warmer weather swimming warmer water,0.0,0.0
Lolz,old,0.1,0.2
Memories,memory,0.0,0.0
Culture and nature,culture nature,0.0,0.0
Variety,variety,0.0,0.0
"To see what the world has to offer, every single different aspect of every culture, country and continent. Just wanna know how thwe world works and looks in every different place.",world offer every single aspect every culture country continent anna know the world work look every place,-0.07142857142857142,0.21428571428571427
New experiences ,new,0.13636363636363635,0.45454545454545453
"getting out of my home country, seeing the world, food, better weather",getting home country world food better weather,0.5,0.5
" can't think of anything that excites a greater sense of childlike wonder than to be in a country where you are ignorant of almost everything. Suddenly you are five years old again. You can't read anything, you have only the most rudimentary sense of how things work, you can't even reliably cross a street without endangering your life. Your whole existence becomes a series of interesting guesses.” ",can think anything excites greater sense childlike wonder country ignorant almost everything suddenly five year old can read anything rudimentary sense work can even reliable cross street without endangering life whole existence becomes series interesting guess,0.21666666666666667,0.35000000000000003
New experiences ,new,0.13636363636363635,0.45454545454545453
"Adrenaline Rush, Curiosity, Wanderlust",adrenalin rush curiosity wanderlust,0.0,0.0
culture and food,culture food,0.0,0.0
experiences,,0.0,0.0
Boredom,boredom,0.0,0.0
Pictures of amazing places,picture amazing place,0.6000000000000001,0.9
Discovery,discovery,0.0,0.0
food and architecture,food architecture,0.0,0.0
"Seeing geological sites, friends in far places",geological site friend far place,0.1,1.0
Exploring cultures that differ from my own,exploring culture differ,0.0,0.0
Discovery,discovery,0.0,0.0
Good question. ,good question,0.7,0.6000000000000001
Exploring other cultures,exploring culture,0.0,0.0
FOMO,domo,0.0,0.0
"Photography, seeing beautiful things across the world ",photography beautiful across world,0.85,1.0
Get to know the World,get know world,0.0,0.0
Need to utilize my industry discount,need utilize industry discount,0.0,0.0
Nothing ,nothing,0.0,0.0
seeing new places,new place,0.13636363636363635,0.45454545454545453
Fun,,0.0,0.0
"New experiences, love",new love,0.3181818181818182,0.5272727272727272
fun,,0.0,0.0
There's so much to see,there much,0.2,0.2
Experiences,,0.0,0.0
New adventure with my husband ,new adventure husband,0.13636363636363635,0.45454545454545453
Relaxation,relaxation,0.0,0.0
Food,food,0.0,0.0
"Food, animals, hiking",food animal hiding,0.0,0.0
Because when else will I ,else,0.0,0.0
Exploring,exploring,0.0,0.0
Curiosity,curiosity,0.0,0.0
New cultures,new culture,0.13636363636363635,0.45454545454545453
Relax,relax,0.0,0.0
"Diving, road trips, nature",diving road trip nature,0.0,0.0
To escape and to have stories to tell.,escape story tell,0.0,0.0
Adventure and curiosity,adventure curiosity,0.0,0.0
curiosity and food,curiosity food,0.0,0.0
Seeing new things,new,0.13636363636363635,0.45454545454545453
adventure,adventure,0.0,0.0
Beautiful small place and cheap ,beautiful small place cheap,0.3333333333333333,0.6999999999999998
"sights, getting away from home",sight getting away home,0.0,0.0
Experiance new cultures and photography,new culture photography,0.13636363636363635,0.45454545454545453
Explore new places and culture,explore new place culture,0.13636363636363635,0.45454545454545453
Seeing and learning knew things,learning knew,0.0,0.0
Experience new things ,new,0.13636363636363635,0.45454545454545453
To experience new cultures and nature ,new culture nature,0.13636363636363635,0.45454545454545453
Seeing new places,new place,0.13636363636363635,0.45454545454545453
Wanderlust I guess.,wanderlust guess,0.0,0.0
To explore the world,explore world,0.0,0.0
"New culture, good food",new culture good food,0.41818181818181815,0.5272727272727273
to see new things,new,0.13636363636363635,0.45454545454545453
Different cultures and interesting places,culture interesting place,0.5,0.5
So much to see so little time,much little time,-0.1875,0.5
See new things and experience other cultures in person,new culture person,0.13636363636363635,0.45454545454545453
"Seeing the world, connecting with new cultures.",world connecting new culture,0.13636363636363635,0.45454545454545453
Adventure,adventure,0.0,0.0
Not work,work,0.0,0.0
Culture,culture,0.0,0.0
"The unknown, different food, different cultures",unknown food culture,-0.1,0.6
"Experiencing different cultures, food",experiencing culture food,0.0,0.0
Getting different vibes from architecture and culture,getting vice architecture culture,0.0,0.0
"Food, culture",food culture,0.0,0.0
Adventure,adventure,0.0,0.0
Experiencing art and culture.,experiencing art culture,0.0,0.0
To understand references,understand reference,0.0,0.0
Food and culture,food culture,0.0,0.0
"Family, fun",family,0.0,0.0
Life Experience,life,0.0,0.0
To see life,life,0.0,0.0
Happiness,happiness,0.7,0.2
Freedom,freedom,0.0,0.0
pleasure,pleasure,0.0,0.0
Discovery,discovery,0.0,0.0
"Experience new cultures,see scenic locations",new culture scene location,0.13636363636363635,0.45454545454545453
