die,die_pr,die_pol,die_sub
live in another country,live another,0.13636363636363635,0.5
the ocean,ocean,0.0,0.0
Skydive,skyline,0.0,0.0
"The dawn chorus, anywhere in the world; see an eclipse",dawn chorus anywhere ellipse,0.0,0.0
The southern cross,southern cross,0.0,0.0
The most opposite location to where they grew up,opposite location grew,0.25,0.25
"Go backpacking and live/see Australia, its really is a great place,",backpacking lives australia really great place,0.8,0.75
What they want to do/see,want doses,0.0,0.0
Venice,venice,0.0,0.0
Galapagos ,galapagos,0.0,0.0
The World,,0.0,0.0
something naturally grand (not man-made),something naturally grand manage,0.5,1.0
the LA comedy store,la comedy store,0.0,0.0
Eat stroopwafels,eat stroopwafels,0.0,0.0
Eat greek food in greece,eat greek food greece,0.0,0.0
"Rome, Japan",rome japan,0.0,0.0
Eat khachapuri in Georgia,eat khachapuri georgia,0.0,0.0
Summit a mountain ,summit mountain,0.0,0.0
Safari,salary,0.0,0.0
Travel solo!,solo,0.0,0.0
Explore your home country as much as possible,explore home much possible,0.0,1.0
Antarctica,antarctica,0.0,0.0
All,,0.0,0.0
hard to pick just one,hard pick one,-0.2916666666666667,0.5416666666666666
U wot m8,u not my,0.0,0.0
just travel,,0.0,0.0
Nature,nature,0.0,0.0
Be happy and content,happy content,0.8,1.0
Go to a far away and very different country,far away different,0.05,0.89
Himalaya,himalaya,0.0,0.0
Northern Vietnam ,vienna,0.0,0.0
"ruin bars, budapest",ruin bar budapest,0.0,0.0
Interail when you finish school,internal finish school,0.0,0.0
Whatever most inspires them,whatever inspires,0.5,0.5
American Western National Parks,american western national park,0.0,0.0
travel to a place where they speak a different language ,place speak different language,0.0,0.6
Yeungella Pub,yeungella pub,0.0,0.0
A new culture ,new culture,0.13636363636363635,0.45454545454545453
Yosemite ,yosemite,0.0,0.0
Sunrise over the ocean,sunrise ocean,0.0,0.0
Great wall of China,great wall china,0.8,0.75
Whale watching,whale watching,0.0,0.0
See the Maldives before IT dies!,maladies dy,0.0,0.0
Live abroad,live abroad,0.13636363636363635,0.5
Everest,everett,0.0,0.0
Do that thing that your favorite action hero does.,thing favorite action hero,0.3,0.55
Lavender fields in provence,lavender field province,0.0,0.0
Machu Picchu,much pitch,0.0,0.0
Florence,florence,0.0,0.0
Eat in a 3 star restaurant,eat 3 star restaurant,0.0,0.0
Get out of their country,,0.0,0.0
Anywhere,anywhere,0.0,0.0
Visit Venice,venice,0.0,0.0
Cappadocia,cappadocia,0.0,0.0
Longterm travel,longer,0.0,0.0
New York ,new york,0.13636363636363635,0.45454545454545453
See an active lava lake,active lava lake,-0.13333333333333333,0.6
Visit any foreign country,foreign,-0.125,0.125
wilderness ,wilderness,0.0,0.0
A bear in the wild,bear wild,0.1,0.4
See the Big 5 on the Maasai Mara in Kenya,big 5 maasai mary sonya,0.0,0.1
Something they like ,something like,0.0,0.0
Illulisat Icefjord in Greenland!,illulisat icefjord greenland,0.0,0.0
Cappadocia balloon ride,cappadocia balloon ride,0.0,0.0
solo travel,solo,0.0,0.0
Scuba diving,cuba diving,0.0,0.0
Go to Africa ,africa,0.0,0.0
Sangria on the beach at Peñiscola,ganglia beach peñiscola,0.0,0.0
The sunset in the summer in Iceland,sunset summer iceland,0.0,0.0
Seychelles ,seychelles,0.0,0.0
One of the seven wonders of the world,one seven wonder,0.0,0.0
Cappadocia,cappadocia,0.0,0.0
the Vatican,vatican,0.0,0.0
all countries at least once,country least,-0.3,0.4
lots,lot,0.0,0.0
take a solo trip,take solo trip,0.0,0.0
Cliffs of Moher,cliff mother,0.0,0.0
"Climb a mountain over 15,000ft. ",climb mountain 15000ft,0.0,0.0
